Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
755,[0.0],[3.0],[3.0],[2.0],[1.0],[2.0],[0.0],[-0.0],[4.0],[4.0],[3.0],[2.0],[2.0],[0.0]
756,[-0.0],[3.0],[4.0],[3.0],[3.0],[2.0],[0.0],[-0.0],[5.0],[6.0],[5.0],[4.0],[3.0],[0.0]
757,[-0.0],[5.0],[5.0],[5.0],[5.0],[3.0],[0.0],[-0.0],[7.0],[8.0],[6.0],[4.0],[4.0],[-0.0]
758,[-0.0],[2.0],[3.0],[2.0],[2.0],[2.0],[0.0],[-0.0],[4.0],[4.0],[4.0],[3.0],[2.0],[0.0]
759,[-0.0],[4.0],[5.0],[5.0],[5.0],[3.0],[0.0],[-0.0],[7.0],[8.0],[7.0],[5.0],[5.0],[0.0]
764,[-0.0],[5.0],[4.0],[3.0],[3.0],[2.0],[0.0],[-0.0],[5.0],[5.0],[4.0],[3.0],[2.0],[0.0]
765,[0.0],[5.0],[4.0],[3.0],[3.0],[2.0],[-0.0],[-0.0],[4.0],[4.0],[3.0],[2.0],[2.0],[-0.0]
766,[-0.0],[3.0],[3.0],[2.0],[2.0],[1.0],[0.0],[-0.0],[3.0],[3.0],[2.0],[2.0],[2.0],[0.0]
770,[-0.0],[3.0],[3.0],[2.0],[2.0],[2.0],[0.0],[-0.0],[3.0],[4.0],[3.0],[2.0],[2.0],[0.0]
777,[0.0],[1.0],[2.0],[1.0],[1.0],[1.0],[0.0],[-0.0],[2.0],[3.0],[2.0],[1.0],[1.0],[0.0]
872,[1.0],[472.0],[456.0],[411.0],[378.0],[331.0],[-0.0],[1.0],[459.0],[457.0],[412.0],[376.0],[364.0],[-0.0]
874,[1.0],[389.0],[431.0],[412.0],[389.0],[330.0],[-0.0],[1.0],[443.0],[457.0],[423.0],[392.0],[381.0],[-0.0]
876,[1.0],[436.0],[515.0],[505.0],[469.0],[401.0],[-0.0],[2.0],[525.0],[565.0],[520.0],[472.0],[466.0],[-0.0]
878,[1.0],[411.0],[437.0],[404.0],[374.0],[314.0],[-0.0],[1.0],[431.0],[444.0],[403.0],[368.0],[353.0],[-0.0]
753,[0.0],[1.0],[1.0],[1.0],[1.0],[0.0],[-0.0],[0.0],[1.0],[1.0],[1.0],[1.0],[0.0],[-0.0]
769,[0.0],[1.0],[2.0],[1.0],[1.0],[2.0],[0.0],[-0.0],[2.0],[2.0],[2.0],[1.0],[1.0],[0.0]
724,[0.0],[1.0],[1.0],[0.0],[1.0],[0.0],[-0.0],[0.0],[1.0],[1.0],[1.0],[0.0],[1.0],[0.0]
971,[2.0],[406.0],[503.0],[471.0],[430.0],[370.0],[-0.0],[2.0],[472.0],[500.0],[456.0],[416.0],[405.0],[-0.0]
725,[-0.0],[6.0],[7.0],[6.0],[5.0],[4.0],[0.0],[-0.0],[8.0],[8.0],[7.0],[5.0],[4.0],[-0.0]
