Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
312,[61.0],[485.0],[586.0],[607.0],[522.0],[371.0],[8.0],[119.0],[489.0],[606.0],[607.0],[566.0],[473.0],[23.0]
313,[50.0],[443.0],[518.0],[549.0],[472.0],[343.0],[10.0],[112.0],[455.0],[579.0],[579.0],[533.0],[452.0],[27.0]
314,[52.0],[434.0],[499.0],[520.0],[438.0],[314.0],[11.0],[102.0],[444.0],[552.0],[542.0],[491.0],[416.0],[29.0]
402,[62.0],[308.0],[464.0],[540.0],[485.0],[375.0],[15.0],[124.0],[338.0],[467.0],[523.0],[525.0],[477.0],[34.0]
403,[47.0],[268.0],[361.0],[403.0],[354.0],[272.0],[7.0],[83.0],[263.0],[360.0],[394.0],[393.0],[364.0],[31.0]
404,[77.0],[447.0],[586.0],[626.0],[549.0],[403.0],[13.0],[143.0],[468.0],[614.0],[648.0],[616.0],[510.0],[29.0]
406,[45.0],[341.0],[400.0],[404.0],[334.0],[231.0],[4.0],[66.0],[346.0],[420.0],[407.0],[373.0],[336.0],[23.0]
407,[24.0],[221.0],[292.0],[298.0],[249.0],[196.0],[4.0],[41.0],[205.0],[287.0],[303.0],[294.0],[270.0],[26.0]
408,[53.0],[325.0],[434.0],[481.0],[417.0],[311.0],[15.0],[95.0],[351.0],[476.0],[493.0],[459.0],[403.0],[29.0]
409,[40.0],[282.0],[319.0],[325.0],[279.0],[193.0],[7.0],[62.0],[251.0],[329.0],[335.0],[320.0],[299.0],[24.0]
410,[75.0],[532.0],[655.0],[694.0],[622.0],[458.0],[12.0],[169.0],[535.0],[687.0],[722.0],[698.0],[583.0],[28.0]
411,[55.0],[437.0],[544.0],[586.0],[515.0],[390.0],[16.0],[119.0],[450.0],[598.0],[615.0],[570.0],[476.0],[30.0]
412,[31.0],[189.0],[195.0],[200.0],[179.0],[110.0],[3.0],[47.0],[174.0],[212.0],[207.0],[202.0],[195.0],[12.0]
413,[83.0],[841.0],[976.0],[992.0],[859.0],[650.0],[2.0],[195.0],[820.0],[978.0],[1006.0],[947.0],[789.0],[35.0]
501,[55.0],[364.0],[504.0],[570.0],[509.0],[397.0],[17.0],[111.0],[392.0],[510.0],[552.0],[540.0],[471.0],[46.0]
502,[37.0],[196.0],[253.0],[274.0],[245.0],[195.0],[11.0],[47.0],[189.0],[249.0],[260.0],[257.0],[250.0],[32.0]
503,[52.0],[290.0],[412.0],[469.0],[415.0],[325.0],[19.0],[99.0],[307.0],[401.0],[431.0],[424.0],[394.0],[37.0]
504,[44.0],[272.0],[370.0],[409.0],[360.0],[287.0],[17.0],[72.0],[307.0],[391.0],[406.0],[389.0],[362.0],[36.0]
505,[51.0],[365.0],[479.0],[540.0],[478.0],[372.0],[17.0],[95.0],[373.0],[489.0],[525.0],[509.0],[444.0],[42.0]
506,[55.0],[615.0],[727.0],[758.0],[676.0],[505.0],[-0.0],[138.0],[525.0],[678.0],[740.0],[744.0],[642.0],[21.0]
507,[52.0],[364.0],[479.0],[517.0],[443.0],[324.0],[8.0],[90.0],[362.0],[469.0],[492.0],[469.0],[420.0],[28.0]
508,[49.0],[298.0],[363.0],[386.0],[334.0],[260.0],[15.0],[71.0],[290.0],[352.0],[362.0],[350.0],[330.0],[34.0]
509,[44.0],[295.0],[365.0],[389.0],[337.0],[257.0],[14.0],[67.0],[296.0],[359.0],[363.0],[349.0],[331.0],[32.0]
510,[42.0],[263.0],[280.0],[285.0],[250.0],[160.0],[6.0],[60.0],[256.0],[295.0],[288.0],[279.0],[270.0],[23.0]
601,[18.0],[673.0],[668.0],[667.0],[588.0],[450.0],[-2.0],[39.0],[515.0],[632.0],[672.0],[656.0],[536.0],[92.0]
602,[18.0],[430.0],[393.0],[394.0],[339.0],[267.0],[3.0],[34.0],[366.0],[416.0],[422.0],[389.0],[341.0],[34.0]
603,[26.0],[677.0],[734.0],[752.0],[664.0],[516.0],[1.0],[49.0],[623.0],[748.0],[800.0],[768.0],[628.0],[127.0]
604,[30.0],[760.0],[857.0],[881.0],[775.0],[601.0],[-2.0],[64.0],[678.0],[844.0],[901.0],[857.0],[707.0],[96.0]
605,[15.0],[634.0],[621.0],[614.0],[538.0],[406.0],[-1.0],[33.0],[478.0],[590.0],[638.0],[628.0],[509.0],[96.0]
606,[31.0],[894.0],[946.0],[939.0],[812.0],[628.0],[-3.0],[74.0],[856.0],[983.0],[993.0],[917.0],[757.0],[131.0]
607,[36.0],[758.0],[912.0],[961.0],[865.0],[689.0],[2.0],[88.0],[799.0],[984.0],[1049.0],[993.0],[828.0],[156.0]
608,[30.0],[779.0],[876.0],[899.0],[802.0],[634.0],[2.0],[69.0],[682.0],[851.0],[923.0],[890.0],[747.0],[143.0]
609,[36.0],[813.0],[938.0],[983.0],[889.0],[711.0],[3.0],[103.0],[784.0],[994.0],[1063.0],[1012.0],[854.0],[135.0]
610,[30.0],[752.0],[847.0],[868.0],[761.0],[589.0],[-2.0],[55.0],[677.0],[842.0],[902.0],[858.0],[706.0],[129.0]
611,[62.0],[704.0],[775.0],[797.0],[701.0],[536.0],[4.0],[136.0],[673.0],[805.0],[839.0],[800.0],[661.0],[25.0]
612,[20.0],[746.0],[710.0],[695.0],[617.0],[481.0],[-2.0],[51.0],[599.0],[720.0],[768.0],[741.0],[611.0],[111.0]
106,[1.0],[54.0],[46.0],[39.0],[30.0],[27.0],[4.0],[6.0],[43.0],[51.0],[43.0],[36.0],[31.0],[11.0]
302,[1.0],[114.0],[93.0],[91.0],[77.0],[59.0],[4.0],[7.0],[117.0],[110.0],[93.0],[80.0],[66.0],[12.0]
401,[71.0],[371.0],[517.0],[545.0],[462.0],[336.0],[15.0],[121.0],[424.0],[545.0],[558.0],[512.0],[434.0],[28.0]
405,[6.0],[226.0],[197.0],[183.0],[155.0],[113.0],[3.0],[12.0],[225.0],[204.0],[169.0],[151.0],[132.0],[33.0]
