Output Belt,2023-10-01,2023-10-02,2023-10-03,2023-10-04,2023-10-05,2023-10-06,2023-10-07,2023-10-08,2023-10-09,2023-10-10,2023-10-11,2023-10-12,2023-10-13,2023-10-14
26,[544.7287847705993],[2122.4329667266634],[2635.3067845250494],[2693.328810530908],[2554.775146391575],[2234.8717168874887],[1665.097905317294],[840.98416575134],[2289.3239879300863],[2729.3223357907054],[2746.2910598841045],[2584.610634444229],[2251.679091162772],[1674.5660872867293]
27,[264.37000129074727],[506.9502900508463],[644.1874926764074],[767.2942948788627],[876.8554680948789],[906.2146002902862],[789.8886225972636],[526.8116573195891],[707.642994232609],[797.6599334514423],[884.6567579214377],[966.6041399858154],[974.8466304758233],[842.3724696352738]
28,[537.5006444191336],[1026.454394730923],[1206.770116390722],[1326.038018651802],[1413.6376264095795],[1365.5659001554652],[1086.406702943272],[599.0647327839183],[1063.094763212858],[1228.5769300405432],[1339.0165213596142],[1421.361887974866],[1370.1630573216034],[1089.1427384635028]
29,[394.3146005651091],[1266.1133836418596],[1432.3588865600775],[1434.7913355965213],[1403.188531022997],[1272.7414486845157],[962.4814236514413],[489.57556208057224],[1305.301367922081],[1448.4798461590167],[1441.423096406985],[1405.9166720605874],[1273.8637378824676],[962.9431054437256]
30,[461.8838113640553],[787.0088498700768],[936.3123757446998],[995.6141116409224],[1027.196330792585],[1033.5744388975368],[965.0263011728116],[765.356291267995],[1055.01805628296],[1173.0024859807252],[1204.6450215613693],[1211.8002471057712],[1196.6058581796678],[1109.0061484261794]
31,[384.9507355731363],[1049.2015157803648],[1077.6844900218036],[1001.3894326726886],[942.2339127480172],[854.5769995967794],[665.2263111856976],[362.033173469193],[1041.9382974871467],[1075.3825724035303],[1000.6598904081715],[942.0027003399399],[854.5037218989007],[665.2030874277209]
32,[466.1179522286061],[1147.38550156855],[1195.9240931739207],[1199.1265387831959],[1196.0831014579815],[1079.5947524895246],[788.745375382158],[383.7686963028508],[1126.0372223689913],[1190.389750214062],[1197.6918118100741],[1195.7111618253398],[1079.4983305967733],[788.7203789026603]
33,[428.13560204124326],[1013.4073491753544],[1016.2690539663975],[982.6437352631369],[964.0424810805982],[876.6235841333917],[658.8854212890011],[340.4525493760988],[992.5673166627181],[1011.3159080399397],[981.4664983968361],[963.7626818055606],[876.5570829588596],[658.8696156504285]
34,[388.43238646359777],[898.7853453834261],[1079.3141034741486],[1153.6602965587153],[1189.7735831499274],[1137.5999768211086],[922.1246914279122],[534.3398493452988],[989.6758459184398],[1135.9327501447665],[1188.929891642278],[1211.7441601683995],[1151.286163276637],[930.6502617640028]
35,[345.905123616765],[603.9696958399784],[747.1090941549865],[864.0217959125912],[942.3506745592856],[914.2317027101037],[732.7667985234505],[425.09749527530374],[659.4029909464304],[785.911445214865],[891.1827728107301],[961.3628902088687],[927.5399259475021],[742.0823253931615]
36,[369.4021956835347],[857.0216695344203],[889.5029549981903],[874.9897197759884],[856.7732754162345],[769.4228803937754],[568.4991635917268],[286.4299740504608],[833.9048356463168],[883.0623897283656],[873.1953182936894],[856.2733384472291],[769.283593296967],[568.4603569090045]
37,[508.9766345629656],[1204.1018012207765],[1239.8615806572373],[1214.7125635931566],[1201.9630095964442],[1101.855661954972],[833.469126854706],[429.1386116619982],[1181.2096138044003],[1233.2976374925056],[1212.830465168652],[1201.4233500670084],[1101.700923815925],[833.4247583401709]
38,[219.9699391644105],[687.9121137825767],[859.260108430797],[930.9869734959145],[962.9668212142229],[915.5924980897593],[730.0582742879257],[403.42595063477694],[799.8384566337331],[927.5462666418523],[972.6482954371336],[988.3843551824598],[931.0997120456198],[739.5192111739881]
39,[580.845503332212],[1006.2378795109829],[1227.5601237747646],[1337.4233363415515],[1391.2748020975268],[1380.6994909358236],[1252.9396238726686],[962.1663449173107],[1340.153106925094],[1519.9631789960054],[1593.4749916219562],[1615.494245092843],[1577.044086178037],[1424.874758336605]
40,[522.7311322819879],[1042.9082947077218],[1214.005496875054],[1341.9373583747008],[1419.1269857027041],[1319.9517460524537],[981.0285100836288],[487.6404937453834],[1027.0609637273146],[1206.8486621842117],[1338.7052505291988],[1417.6673290840704],[1319.2925485422945],[980.7308089997899]
