Method,MSE,VSE,MAE,Running time training,Running time forecast
Linear Regression,77812.28645099157,2018613186.6804376,138.0585455917371,-,0:00:16.145638
Neural Network,25176.272259990375,205800359.23628843,66.05735078266157,0:08:38.850192,0:00:01.982335
ARIMA,86506.426119131,3208688404.0706816,125.67766532778612,0:15:56.760054,0:09:50.425600
