Sorting center,MSE,VSE,MAE
KUOPIO,9505.07941447715,36090853.697555706,63.971898800363654
LIETO,17792.248385768773,357702991.1951736,86.09901324804329
OULU,10360.444437486045,89295124.80191694,63.167410319651545
SEINJOKI,51153.91416594102,2435388384.6192737,165.13784636259194
TAMPERE,17644.430357702804,292340078.0556198,77.16230456340084
VANTAA,329799.5367543899,49023636835.05626,289.82289901009256
total,87048.54090951625,3272310995.824974,126.34654358460857
