Sorting center,MSE,VSE,MAE
KUOPIO,10117.96205745271,90997571.57151482,69.02261918836165
LIETO,29175.280000298753,527803707.0024118,121.06505198296611
OULU,10985.85532199097,105423666.6373744,67.28116733167694
SEINJOKI,45667.21032561329,1698193500.4327757,167.07914829584564
TAMPERE,22836.83331158794,376552017.4629992,75.85561931053739
VANTAA,275179.0282629251,27842658851.828438,309.45805884538
total,77812.28645098956,2018613186.6803415,138.0585455917356
