Sorting center,MSE,VSE,MAE
KUOPIO,1904183.69571783,2774814027122.398,1192.6364956185355
LIETO,375476.0489700973,152846849664.4346,432.70624612860496
OULU,1904183.69571783,2774814027122.398,1192.6364956185355
SEINÄJOKI,514944.39839265886,178371826409.47266,551.2124602688351
TAMPERE,1904183.69571783,2774814027122.398,1192.6364956185355
VANTAA,702145.7143086775,344729464359.63184,583.5780312223338
total,664279.8296793124,1751880550155.2468,575.5060340142592
