Sorting center,MSE,VSE,MAE
KUOPIO,2740.9231757119064,4354614.853479219,31.250888646526136
LIETO,6657.212061519361,21478841.81829858,54.50990952287167
OULU,1497.332075998486,965137.4580861052,23.695726935869242
SEINJOKI,10941.725347917072,77049282.29652795,70.90034622416577
TAMPERE,6268.577868015639,34352071.25096761,28.308580892808013
VANTAA,94980.49290216355,3037508346.7077174,168.10818103020196
total,25176.272259990375,205800359.23628843,66.05735078266157
